ID,Name,Range,24 Seasons,Start Date,End Date
1,東風解凍,初候,立春,02-04,02-08
2,黄鶯睍睆,次候,立春,02-09,02-13
3,魚上氷,末候,立春,02-14,02-18
4,土脉潤起,初候,雨水,02-19,02-23
5,霞始靆,次候,雨水,02-24,02-28
6,草木萌動,末候,雨水,03-01,03-04
7,蟄虫啓戸,初候,啓蟄,03-05,03-09
8,桃始笑,次候,啓蟄,03-10,03-14
9,菜虫化蝶,末候,啓蟄,03-15,03-19
10,雀始巣,初候,春分,03-20,03-24
11,桜始開,次候,春分,03-25,03-29
12,雷乃発声,末候,春分,03-30,04-03
13,玄鳥至,初候,清明,04-04,04-08
14,鴻雁北,次候,清明,04-09,04-13
15,虹始見,末候,清明,04-14,04-18
16,葭始生,初候,穀雨,04-19,04-24
17,霜止出苗,次候,穀雨,04-25,04-29
18,牡丹華,末候,穀雨,04-30,05-04
19,蛙始鳴,初候,立夏,05-05,05-09
20,蚯蚓出,次候,立夏,05-10,05-14
21,竹笋生,末候,立夏,05-15,05-19
22,蚕起食桑,初候,小満,05-20,05-25
23,紅花栄,次候,小満,05-26,05-30
24,麦秋至,末候,小満,05-31,06-04
25,螳螂生,初候,芒種,06-05,06-09
26,腐草為蛍,次候,芒種,06-10,06-15
27,梅子黄,末候,芒種,06-16,06-20
28,乃東枯,初候,夏至,06-21,06-25
29,菖蒲華,次候,夏至,06-26,06-30
30,半夏生,末候,夏至,07-01,07-06
31,温風至,初候,小暑,07-07,07-11
32,蓮始華,次候,小暑,07-12,07-16
33,鷹乃学習,末候,小暑,07-17,07-21
34,桐始結花,初候,大暑,07-22,07-26
35,土潤溽暑,次候,大暑,07-27,08-01
36,大雨時行,末候,大暑,08-02,08-06
37,涼風至,初候,立秋,08-07,08-11
38,寒蝉鳴,次候,立秋,08-12,08-16
39,蒙霧升降,末候,立秋,08-17,08-22
40,綿柎開,初候,処暑,08-23,08-27
41,天地始粛,次候,処暑,08-28,09-01
42,禾乃登,末候,処暑,09-02,09-06
43,草露白,初候,白露,09-07,09-11
44,鶺鴒鳴,次候,白露,09-12,09-16
45,玄鳥去,末候,白露,09-17,09-21
46,雷乃収声,初候,秋分,09-22,09-27
47,蟄虫坏戸,次候,秋分,09-28,10-02
48,水始涸,末候,秋分,10-03,10-07
49,鴻雁来,初候,寒露,10-08,10-12
50,菊花開,次候,寒露,10-13,10-17
51,蟋蟀在戸,末候,寒露,10-18,10-22
52,霜始降,初候,霜降,10-23,10-27
53,霎時施,次候,霜降,10-28,11-1
54,楓蔦黄,末候,霜降,11-2,11-6
55,山茶始開,初候,立冬,11-07,11-11
56,地始凍,次候,立冬,11-12,11-16
57,金盞香,末候,立冬,11-17,11-21
58,虹蔵不見,初候,小雪,11-22,11-26
59,朔風払葉,次候,小雪,11-27,12-1
60,橘始黄,末候,小雪,12-2,11-6
61,閉塞成冬,初候,大雪,12-07,12-10
62,熊蟄穴,次候,大雪,12-11,12-15
63,鱖魚群,末候,大雪,12-16,12-20
64,乃東生,初候,冬至,12-21,12-25
65,麋角解,次候,冬至,12-26,12-30
66,雪下出麦,末候,冬至,12-31,1-4
67,芹乃栄,初候,小寒,1-5,01-09
68,水泉動,次候,小寒,01-10,01-14
69,雉始雊,末候,小寒,01-15,01-19
70,款冬華,初候,大寒,01-20,01-24
71,水沢腹堅 ,次候,大寒,01-25,01-29
72,鶏始乳,末候,大寒,01-30,02-03
